"gender,age,income,goal,dec,attr,sinc,intel,fun,amb,shar,like,prob,met"
"0,21.0,69487.0,2.0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0"
"0,21.0,69487.0,2.0,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0"
"0,21.0,69487.0,2.0,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0"
"0,21.0,69487.0,2.0,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0"
"0,21.0,69487.0,2.0,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,2.0"
"0,21.0,69487.0,2.0,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0"
"0,21.0,69487.0,2.0,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,2.0"
"0,21.0,69487.0,2.0,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,2.0"
"0,24.0,65929.0,1.0,0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,2.0"
"0,24.0,65929.0,1.0,0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,2.0"
"0,24.0,65929.0,1.0,0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,2.0"
"0,24.0,65929.0,1.0,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,2.0"
"0,24.0,65929.0,1.0,0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,1.0"
"0,24.0,65929.0,1.0,0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,2.0"
"0,24.0,65929.0,1.0,1,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,2.0"
"0,24.0,65929.0,1.0,0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,2.0"
"0,24.0,65929.0,1.0,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,2.0"
"0,24.0,65929.0,1.0,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,2.0"
"0,23.0,37754.0,1.0,0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,2.0"
"0,23.0,37754.0,1.0,0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1.0"
"0,23.0,37754.0,1.0,0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,2.0"
"0,23.0,37754.0,1.0,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1.0"
"0,23.0,37754.0,1.0,0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,2.0"
"0,23.0,37754.0,1.0,0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,2.0"
"0,23.0,37754.0,1.0,0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,2.0"
"0,23.0,37754.0,1.0,0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,2.0"
"0,23.0,37754.0,1.0,1,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,2.0"
"0,23.0,37754.0,1.0,1,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,2.0"
"0,21.0,86340.0,2.0,0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,2.0"
"0,21.0,86340.0,2.0,0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,1.0"
"0,21.0,86340.0,2.0,0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,1.0"
"0,21.0,86340.0,2.0,1,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,1.0"
"0,21.0,86340.0,2.0,0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,2.0"
"0,21.0,86340.0,2.0,1,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0,2.0"
"0,21.0,86340.0,2.0,1,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0,2.0"
"0,21.0,86340.0,2.0,1,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0,2.0"
"0,21.0,86340.0,2.0,1,7.0,5.0,7.0,8.0,7.0,9.0,9.0,4.0,2.0"
"0,21.0,86340.0,2.0,1,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0,2.0"
"0,23.0,60304.0,1.0,1,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,2.0"
"0,23.0,60304.0,1.0,1,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,2.0"
"0,23.0,60304.0,1.0,0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,1.0"
"0,23.0,60304.0,1.0,1,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,2.0"
"0,23.0,60304.0,1.0,0,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,1.0"
"0,23.0,60304.0,1.0,0,3.0,7.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0"
"0,23.0,60304.0,1.0,1,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0,2.0"
"0,23.0,60304.0,1.0,0,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0,2.0"
"0,23.0,60304.0,1.0,1,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,2.0"
"0,23.0,60304.0,1.0,1,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,2.0"
"0,22.0,54620.0,1.0,0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,2.0"
"0,22.0,54620.0,1.0,0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1.0"
"0,22.0,54620.0,1.0,0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,1.0"
"0,22.0,54620.0,1.0,1,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1.0"
"0,22.0,54620.0,1.0,0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,1.0"
